sync, uptime, seq, step, SWPMON, adc
0xEEEE, 10005411, 3201, 0000, 0.01209, 4.8638132
0xEEEE, 10008536, 3202, 0001, 0.01209, 4.8445869
0xEEEE, 10011662, 3203, 0001, 0.39165, 4.8541238
0xEEEE, 10014786, 3204, 0002, 0.40535, 4.8593881
0xEEEE, 10017927, 3205, 0002, 0.39165, 4.8638132
0xEEEE, 10021065, 3206, 0003, 0.78733, 4.8463416
0xEEEE, 10024153, 3207, 0003, 0.78813, 4.8545052
0xEEEE, 10027276, 3208, 0004, 1.20637, 4.8597696
0xEEEE, 10030401, 3209, 0004, 1.18220, 4.8434424
0xEEEE, 10033526, 3210, 0005, 1.57868, 4.8452735
0xEEEE, 10036652, 3211, 0005, 1.97275, 4.8625162
0xEEEE, 10039776, 3212, 0006, 1.97275, 4.8644236
0xEEEE, 10042913, 3213, 0006, 1.97194, 4.8450446
0xEEEE, 10046045, 3214, 0007, 2.37407, 4.8459602
0xEEEE, 10049163, 3215, 0007, 2.36681, 4.8619059
0xEEEE, 10052288, 3216, 0007, 2.55136, 4.8596170
0xEEEE, 10055414, 3217, 0007, 2.55055, 4.8461891
0xEEEE, 10058538, 3218, 0006, 2.55055, 4.8513771
0xEEEE, 10061663, 3219, 0006, 2.54974, 4.8597696
0xEEEE, 10064799, 3220, 0005, 2.36520, 4.8520638
0xEEEE, 10067930, 3221, 0005, 2.36520, 4.8467994
0xEEEE, 10071043, 3222, 0004, 1.97275, 4.8528267
0xEEEE, 10074161, 3223, 0004, 1.97275, 4.8623636
0xEEEE, 10077287, 3224, 0003, 1.57868, 4.8514534
0xEEEE, 10080412, 3225, 0003, 1.18542, 4.8428321
0xEEEE, 10083535, 3226, 0002, 1.18462, 4.8593118
0xEEEE, 10086651, 3227, 0002, 1.18300, 4.8552682
0xEEEE, 10089777, 3228, 0001, 0.78813, 4.8540475
0xEEEE, 10092910, 3229, 0001, 0.79216, 4.8484016
0xEEEE, 10096035, 3230, 0000, 0.38842, 4.8594644
0xEEEE, 10099151, 3231, 0000, 0.36505, 4.8577096
0xEEEE, 10102285, 3232, 0000, 0.01209, 4.8436713
0xEEEE, 10105401, 3233, 0000, 0.01209, 4.8554971
0xEEEE, 10108527, 3234, 0001, 0.01209, 4.8574807
0xEEEE, 10111663, 3235, 0001, 0.01209, 4.8557259
