11-29-2023, 12:55:56:33, sync, seq, adc
11-29-2023, 12:56:27:680, 0xBBBB, 2226, 3.051
11-29-2023, 12:56:27:779, 0xBBBB, 2227, 3.051
11-29-2023, 12:56:27:878, 0xBBBB, 2228, 3.051
11-29-2023, 12:56:27:971, 0xBBBB, 2229, 3.051
11-29-2023, 12:56:28:94, 0xBBBB, 2230, 3.051
11-29-2023, 12:56:28:191, 0xBBBB, 2231, 3.051
11-29-2023, 12:56:28:260, 0xBBBB, 2232, 3.051
11-29-2023, 12:56:28:390, 0xBBBB, 2233, 3.051
11-29-2023, 12:56:28:490, 0xBBBB, 2234, 3.051
11-29-2023, 12:56:28:585, 0xBBBB, 2235, 3.051
11-29-2023, 12:56:28:677, 0xBBBB, 2236, 3.051
11-29-2023, 12:56:28:774, 0xBBBB, 2237, 3.051
11-29-2023, 12:56:28:872, 0xBBBB, 2238, 3.051
11-29-2023, 12:56:28:970, 0xBBBB, 2239, 3.051
11-29-2023, 12:56:29:71, 0xBBBB, 2240, 3.051
