11-29-2023, 10:32:01:252, sync, seq, adc
11-29-2023, 10:32:44:276, 0xBBBB, 0388, 3.061
11-29-2023, 10:32:44:368, 0xBBBB, 0389, 3.061
11-29-2023, 10:32:44:491, 0xBBBB, 0390, 3.061
11-29-2023, 10:32:44:585, 0xBBBB, 0391, 3.061
11-29-2023, 10:32:44:677, 0xBBBB, 0392, 3.061
11-29-2023, 10:32:44:769, 0xBBBB, 0393, 3.061
11-29-2023, 10:32:44:892, 0xBBBB, 0394, 3.061
11-29-2023, 10:32:44:984, 0xBBBB, 0395, 3.061
11-29-2023, 10:32:45:76, 0xBBBB, 0396, 3.061
11-29-2023, 10:32:45:167, 0xBBBB, 0397, 3.061
11-29-2023, 10:32:45:289, 0xBBBB, 0398, 3.061
11-29-2023, 10:32:45:381, 0xBBBB, 0399, 3.061
11-29-2023, 10:32:45:472, 0xBBBB, 0400, 3.061
11-29-2023, 10:32:45:563, 0xBBBB, 0401, 3.061
11-29-2023, 10:32:45:655, 0xBBBB, 0402, 3.061
11-29-2023, 10:32:45:777, 0xBBBB, 0403, 3.061
11-29-2023, 10:32:45:868, 0xBBBB, 0404, 3.061
11-29-2023, 10:32:45:960, 0xBBBB, 0405, 3.061
11-29-2023, 10:32:46:53, 0xBBBB, 0406, 3.061
11-29-2023, 10:32:46:174, 0xBBBB, 0407, 3.061
11-29-2023, 10:32:46:267, 0xBBBB, 0408, 3.061
11-29-2023, 10:32:46:358, 0xBBBB, 0409, 3.061
11-29-2023, 10:32:46:451, 0xBBBB, 0410, 3.061
11-29-2023, 10:32:46:543, 0xBBBB, 0411, 3.061
11-29-2023, 10:32:46:666, 0xBBBB, 0412, 3.061
11-29-2023, 10:32:46:757, 0xBBBB, 0413, 3.061
11-29-2023, 10:32:46:849, 0xBBBB, 0414, 3.061
11-29-2023, 10:32:46:971, 0xBBBB, 0415, 3.061
11-29-2023, 10:32:47:63, 0xBBBB, 0416, 3.061
11-29-2023, 10:32:47:155, 0xBBBB, 0417, 3.061
11-29-2023, 10:32:47:248, 0xBBBB, 0418, 3.061
11-29-2023, 10:32:47:371, 0xBBBB, 0419, 3.061
11-29-2023, 10:32:47:463, 0xBBBB, 0420, 3.061
11-29-2023, 10:32:47:555, 0xBBBB, 0421, 3.061
11-29-2023, 10:32:47:648, 0xBBBB, 0422, 3.061
11-29-2023, 10:32:47:773, 0xBBBB, 0423, 3.061
11-29-2023, 10:32:47:864, 0xBBBB, 0424, 3.061
11-29-2023, 10:32:47:957, 0xBBBB, 0425, 3.061
11-29-2023, 10:32:48:50, 0xBBBB, 0426, 3.061
11-29-2023, 10:32:48:143, 0xBBBB, 0427, 3.061
11-29-2023, 10:32:48:266, 0xBBBB, 0428, 3.061
11-29-2023, 10:32:48:358, 0xBBBB, 0429, 3.061
11-29-2023, 10:32:48:452, 0xBBBB, 0430, 3.061
11-29-2023, 10:32:48:544, 0xBBBB, 0431, 3.061
11-29-2023, 10:32:48:668, 0xBBBB, 0432, 3.061
11-29-2023, 10:32:48:760, 0xBBBB, 0433, 3.061
11-29-2023, 10:32:48:852, 0xBBBB, 0434, 3.061
11-29-2023, 10:32:48:944, 0xBBBB, 0435, 3.061
11-29-2023, 10:32:49:68, 0xBBBB, 0436, 3.061
11-29-2023, 10:32:49:160, 0xBBBB, 0437, 3.061
11-29-2023, 10:32:49:252, 0xBBBB, 0438, 3.061
11-29-2023, 10:32:49:344, 0xBBBB, 0439, 3.061
11-29-2023, 10:32:49:466, 0xBBBB, 0440, 3.061
11-29-2023, 10:32:49:558, 0xBBBB, 0441, 3.061
11-29-2023, 10:32:49:651, 0xBBBB, 0442, 3.061
11-29-2023, 10:32:49:774, 0xBBBB, 0443, 3.061
11-29-2023, 10:32:49:866, 0xBBBB, 0444, 3.061
11-29-2023, 10:32:49:958, 0xBBBB, 0445, 3.061
11-29-2023, 10:32:50:51, 0xBBBB, 0446, 3.061
11-29-2023, 10:32:50:142, 0xBBBB, 0447, 3.061
11-29-2023, 10:32:50:264, 0xBBBB, 0447, 3.061
11-29-2023, 10:32:50:356, 0xBBBB, 0449, 3.061
11-29-2023, 10:32:50:448, 0xBBBB, 0450, 3.061
11-29-2023, 10:32:50:540, 0xBBBB, 0451, 3.061
11-29-2023, 10:32:50:663, 0xBBBB, 0452, 3.061
11-29-2023, 10:32:50:755, 0xBBBB, 0453, 3.061
11-29-2023, 10:32:50:849, 0xBBBB, 0454, 3.061
11-29-2023, 10:32:50:941, 0xBBBB, 0455, 3.061
11-29-2023, 10:32:51:33, 0xBBBB, 0456, 3.061
11-29-2023, 10:32:51:156, 0xBBBB, 0456, 3.061
11-29-2023, 10:32:51:248, 0xBBBB, 0458, 3.061
11-29-2023, 10:32:51:340, 0xBBBB, 0459, 3.061
11-29-2023, 10:32:51:433, 0xBBBB, 0460, 3.061
11-29-2023, 10:32:51:556, 0xBBBB, 0461, 3.061
11-29-2023, 10:32:51:648, 0xBBBB, 0462, 3.061
11-29-2023, 10:32:51:740, 0xBBBB, 0463, 3.061
11-29-2023, 10:32:51:833, 0xBBBB, 0464, 3.061
11-29-2023, 10:32:51:956, 0xBBBB, 0465, 3.061
11-29-2023, 10:32:52:48, 0xBBBB, 0466, 3.061
11-29-2023, 10:32:52:140, 0xBBBB, 0467, 3.061
11-29-2023, 10:32:52:231, 0xBBBB, 0468, 3.061
11-29-2023, 10:32:52:323, 0xBBBB, 0469, 3.061
11-29-2023, 10:32:52:445, 0xBBBB, 0470, 3.061
11-29-2023, 10:32:52:536, 0xBBBB, 0471, 3.061
11-29-2023, 10:32:52:628, 0xBBBB, 0472, 3.061
11-29-2023, 10:32:52:722, 0xBBBB, 0473, 3.061
11-29-2023, 10:32:52:847, 0xBBBB, 0474, 3.061
11-29-2023, 10:32:52:939, 0xBBBB, 0475, 3.061
11-29-2023, 10:32:53:32, 0xBBBB, 0476, 3.061
11-29-2023, 10:32:53:123, 0xBBBB, 0477, 3.061
11-29-2023, 10:32:53:215, 0xBBBB, 0478, 3.061
11-29-2023, 10:32:53:337, 0xBBBB, 0479, 3.061
11-29-2023, 10:32:53:428, 0xBBBB, 0480, 3.061
11-29-2023, 10:32:53:519, 0xBBBB, 0481, 3.061
11-29-2023, 10:32:53:640, 0xBBBB, 0482, 3.061
11-29-2023, 10:32:53:733, 0xBBBB, 0483, 3.061
11-29-2023, 10:32:53:825, 0xBBBB, 0484, 3.061
11-29-2023, 10:32:53:949, 0xBBBB, 0485, 3.061
11-29-2023, 10:32:54:41, 0xBBBB, 0486, 3.061
11-29-2023, 10:32:54:133, 0xBBBB, 0487, 3.063
11-29-2023, 10:32:54:225, 0xBBBB, 0488, 3.061
11-29-2023, 10:32:54:348, 0xBBBB, 0489, 3.061
11-29-2023, 10:32:54:442, 0xBBBB, 0490, 3.061
11-29-2023, 10:32:54:534, 0xBBBB, 0491, 3.061
11-29-2023, 10:32:54:626, 0xBBBB, 0492, 3.061
11-29-2023, 10:32:54:719, 0xBBBB, 0493, 3.061
11-29-2023, 10:32:54:842, 0xBBBB, 0494, 3.061
11-29-2023, 10:32:54:934, 0xBBBB, 0495, 3.061
11-29-2023, 10:32:55:26, 0xBBBB, 0496, 3.061
11-29-2023, 10:32:55:119, 0xBBBB, 0497, 3.061
11-29-2023, 10:32:55:242, 0xBBBB, 0498, 3.061
11-29-2023, 10:32:55:336, 0xBBBB, 0499, 3.061
11-29-2023, 10:32:55:428, 0xBBBB, 0500, 3.061
11-29-2023, 10:32:55:520, 0xBBBB, 0501, 3.061
11-29-2023, 10:32:55:643, 0xBBBB, 0502, 3.061
11-29-2023, 10:32:55:736, 0xBBBB, 0503, 3.063
11-29-2023, 10:32:55:828, 0xBBBB, 0504, 3.061
11-29-2023, 10:32:55:921, 0xBBBB, 0505, 3.061
11-29-2023, 10:32:56:44, 0xBBBB, 0506, 3.061
11-29-2023, 10:32:56:137, 0xBBBB, 0507, 3.061
11-29-2023, 10:32:56:230, 0xBBBB, 0508, 3.061
11-29-2023, 10:32:56:323, 0xBBBB, 0509, 3.061
11-29-2023, 10:32:56:416, 0xBBBB, 0510, 3.061
11-29-2023, 10:32:56:538, 0xBBBB, 0511, 3.061
11-29-2023, 10:32:56:630, 0xBBBB, 0682, 3.061
11-29-2023, 10:32:56:723, 0xBBBB, 0513, 3.061
11-29-2023, 10:32:56:815, 0xBBBB, 0514, 3.061
11-29-2023, 10:32:56:938, 0xBBBB, 0515, 3.061
11-29-2023, 10:32:57:31, 0xBBBB, 0516, 3.061
11-29-2023, 10:32:57:124, 0xBBBB, 0517, 3.061
11-29-2023, 10:32:57:216, 0xBBBB, 0518, 3.061
11-29-2023, 10:32:57:340, 0xBBBB, 0519, 3.061
11-29-2023, 10:32:57:433, 0xBBBB, 0520, 3.061
11-29-2023, 10:32:57:525, 0xBBBB, 0521, 3.061
11-29-2023, 10:32:57:616, 0xBBBB, 0522, 3.061
11-29-2023, 10:32:57:707, 0xBBBB, 0523, 3.061
11-29-2023, 10:32:57:828, 0xBBBB, 0524, 3.061
11-29-2023, 10:32:57:921, 0xBBBB, 0525, 3.061
11-29-2023, 10:32:58:12, 0xBBBB, 0526, 3.061
11-29-2023, 10:32:58:105, 0xBBBB, 0527, 3.061
11-29-2023, 10:32:58:227, 0xBBBB, 0528, 3.061
11-29-2023, 10:32:58:319, 0xBBBB, 0529, 3.061
11-29-2023, 10:32:58:411, 0xBBBB, 0530, 3.061
11-29-2023, 10:32:58:503, 0xBBBB, 0531, 3.061
11-29-2023, 10:32:58:595, 0xBBBB, 0532, 3.061
11-29-2023, 10:32:58:718, 0xBBBB, 0532, 3.061
11-29-2023, 10:32:58:809, 0xBBBB, 0534, 3.061
11-29-2023, 10:32:58:901, 0xBBBB, 0535, 3.061
11-29-2023, 10:32:58:992, 0xBBBB, 0536, 3.061
11-29-2023, 10:32:59:115, 0xBBBB, 0537, 3.061
11-29-2023, 10:32:59:206, 0xBBBB, 0538, 3.061
11-29-2023, 10:32:59:299, 0xBBBB, 0539, 3.061
11-29-2023, 10:32:59:420, 0xBBBB, 0540, 3.061
11-29-2023, 10:32:59:512, 0xBBBB, 0541, 3.061
11-29-2023, 10:32:59:607, 0xBBBB, 0542, 3.061
11-29-2023, 10:32:59:701, 0xBBBB, 0543, 3.061
11-29-2023, 10:32:59:794, 0xBBBB, 0544, 3.061
11-29-2023, 10:32:59:917, 0xBBBB, 0545, 3.061
11-29-2023, 10:33:00:9, 0xBBBB, 0546, 3.061
11-29-2023, 10:33:00:102, 0xBBBB, 0547, 3.061
11-29-2023, 10:33:00:193, 0xBBBB, 0548, 3.061
11-29-2023, 10:33:00:315, 0xBBBB, 0549, 3.061
