11-29-2023, 10:25:03:38, sync, seq, vsense, vrefint, temp1, temp2, temp3, temp4, busvmon, busimon, 2v5mov, 3v3mon, 5vmon, n3v3mon, n5vmon, 15vmon, 5vrefmon, n200vmon, n800vmon
11-29-2023, 10:25:16:700, 0xCCCC , 2183 , 1.451, 21.574, 3971.600, 3978.250, 122.560, 127.180, 1.600, 1.516, 1.497, 1.605, 1.457, 1.614, 1.467, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:16:849, 0xCCCC , 2183 , 1.451, 21.574, 3971.600, 3978.250, 122.560, 127.180, 1.600, 1.516, 1.497, 1.605, 1.457, 1.614, 1.467, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:16:970, 0xCCCC , 2183 , 1.451, 21.574, 3971.600, 3978.250, 122.560, 127.180, 1.600, 1.516, 1.497, 1.605, 1.457, 1.614, 1.467, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:17:88, 0xCCCC , 2183 , 1.451, 21.574, 3971.600, 3978.250, 122.560, 127.180, 1.600, 1.516, 1.497, 1.605, 1.457, 1.614, 1.467, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:17:207, 0xCCCC , 2006 , 0.251, 0.252, 22.000, 22.120, 3994.620, 3970.930, 1.607, 1.437, 1.648, 1.507, 1.494, 1.563, 1.457, 1.602, 1.456, 1.452, 
11-29-2023, 10:25:17:326, 0xCCCC , 2006 , 0.251, 0.252, 22.000, 22.120, 3994.620, 3970.930, 1.607, 1.437, 1.648, 1.507, 1.494, 1.563, 1.457, 1.602, 1.456, 1.452, 
11-29-2023, 10:25:17:475, 0xCCCC , 2006 , 0.251, 0.252, 22.000, 22.120, 3994.620, 3970.930, 1.607, 1.437, 1.648, 1.507, 1.494, 1.563, 1.457, 1.602, 1.456, 1.452, 
11-29-2023, 10:25:17:594, 0xCCCC , 2006 , 0.251, 0.252, 22.000, 22.120, 3994.620, 3970.930, 1.607, 1.437, 1.648, 1.507, 1.494, 1.563, 1.457, 1.602, 1.456, 1.452, 
11-29-2023, 10:25:17:715, 0xCCCC , 2006 , 0.251, 0.252, 22.000, 22.120, 3994.620, 3970.930, 1.607, 1.437, 1.648, 1.507, 1.494, 1.563, 1.457, 1.602, 1.456, 1.452, 
11-29-2023, 10:25:17:951, 0xCCCC , 45576 , 10.508, 34.701, 3904.500, 4016.430, 4000.500, 4032.500, 3.944, 21.199, 28.512, 1.507, 1.494, 1.563, 1.457, 1.602, 1.456, 1.452, 
11-29-2023, 10:25:18:100, 0xCCCC , 45576 , 10.508, 34.701, 3904.500, 4016.430, 4000.500, 4032.500, 3.944, 21.199, 28.512, 1.507, 1.494, 1.563, 1.457, 1.602, 1.456, 1.452, 
11-29-2023, 10:25:18:189, 0xCCCC , 45576 , 10.508, 34.701, 3904.500, 4016.430, 4000.500, 4032.500, 3.944, 21.199, 28.512, 1.507, 1.494, 1.563, 1.457, 1.602, 1.456, 1.452, 
